BSE SYMBOL,ISIN No,Type
TRADWIN,INE961E01017,Equity
UPHOT,INE726E01014,Equity
SWASTIVI,INE804A01025,Equity
MSLGLOBAL,INE856D01011,Equity
YAMNINV,INE457N01025,Equity
PREMCAP,INE946K01023,Equity
ZMILGFIN,INE679T01013,Equity
ZARCOLEA,INE955S01019,Equity
KUSUMEL,INE175Q01018,Equity
JUMBFNL,INE122N01017,Equity
SAKTHIFIN,INE302E01014,Equity
EASYFIN,INE407F01018,Equity
JMDVL,INE047E01031,Equity
TVOLCON,INE747V01014,Equity
VBDESAI,INE848D01018,Equity
QUADRANT,INE527B01020,Equity
1STCUS,INE609B01018,Equity
KAMANWALA,INE344D01018,Equity
WSFX,INE549D01012,Equity
ANJANIFOODS,INE096I01021,Equity
RKDAGRRTL,INE552N01023,Equity
PARSHWANA,INE635I01018,Equity
RAJVI,INE381N01019,Equity
MILLENNIUM,INE570N01025,Equity
MUNCAPM,INE910G01027,Equity
BOMTALKIES,INE910D01024,Equity
SAGARSYST,INE771Z01015,Equity
ICONIKSPEV,INE088P01015,Equity
INDCEMCAP,INE429D01017,Equity
ADMANUM,INE556D01017,Equity
MEHIF,INE240B01012,Equity
INTRGLB,INE661M01016,Equity
MCLTD,INE410E01015,Equity
SHRISTI,INE472C01027,Equity
GUJCRED,INE034B01019,Equity
SYLPH,INE706F01021,Equity
DHARFIN,INE899D01011,Equity
ALEXANDER,INE191N01012,Equity
SHRYDUS,INE488C01015,Equity
BHARAT,INE900A01013,Equity
USHAKIRA,INE697C01011,Equity
VIVOBIOT,INE380K01017,Equity
VEERHEALTH,INE882C01035,Equity
PANINDIAC,INE376A01032,Equity
SAHARAHOUS,INE135C01012,Equity
NDASEC,INE026C01013,Equity
SUPRATRE,INE533B01028,Equity
GSBFIN,INE777C01011,Equity
MORARKFI,INE367A01015,Equity
PROFINC,INE732K01027,Equity
SANCF,INE654D01010,Equity
CRESCENTIS,INE754C01010,Equity
MANTRA,INE304E01010,Equity
BEFOUNDMOL,INE425F01028,Equity
LIBORDFIN,INE212B01011,Equity
YASHMGM,INE216B01012,Equity
ISLCONSUL,INE569B01022,Equity
RRFIN,INE229D01011,Equity
DJSSS,INE234E01027,Equity
OMEGAIN,INE113B01037,Equity
SUGALDAM,INE309D01011,Equity
NETTLINX,INE027D01019,Equity
BGIL,INE443D01018,Equity
MATHEWE,INE963B01019,Equity
AJCON,INE759C01027,Equity
CHRTEDCA,INE953B01010,Equity
STANCAP,INE625D01028,Equity
YOGI,INE290E01011,Equity
CUBIFIN,INE717D01023,Equity
RELICTEC,INE452B01013,Equity
INVIGO,INE359A01012,Equity
KZLFIN,INE006C01015,Equity
MEHSECU,INE241B01010,Equity
RFL,INE239B01014,Equity
ABIRAFN,INE195I01013,Equity
MANSIFIN,INE094E01017,Equity
AASTAFIN,INE819K01014,Equity
ZNILKENG,INE582V01015,Equity
SOBME,INE754D01018,Equity
TTGIL,INE135H01029,Equity
WINROC,INE837E01019,Equity
ASGARD,INE767M01029,Equity
VEGA,INE603D01017,Equity
SKYBIOTECH,INE393H01016,Equity
ROYALIND,INE510H01015,Equity
DHANSAFAL,INE195E01020,Equity
SHYAM,INE139J01019,Equity
TANDHANIN,INE896J01014,Equity
WARDHEALTH,INE048E01013,Equity
VISVEN,INE762D01011,Equity
MRUTR,INE738D01029,Equity
GDIL,INE425H01016,Equity
CRANESSOFT,INE234B01023,Equity
SAICOM,INE092G01024,Equity
EY,INE750G01019,Equity
TRIPR,INE331E01013,Equity
NIDHGRN,INE276H01013,Equity
AVIVA,INE461H01011,Equity
ROSEMER,INE649C01012,Equity
TWIROST,INE436U01016,Equity
KAJALSY,INE956V01011,Equity
AVANCE,INE758A01072,Equity
MLINDLTD,INE808W01012,Equity
TERRAREAL,INE123V01018,Equity
